event_id,lead_id,event_date,contact_type,response_type
c5d25183-7c95-4e84-a821-5ba8b37e3833,9c458f7a-9c79-41f6-9332-313714b7623d,2024-04-17,Email,No Response
580c82e5-28e7-4e50-ad67-d6514778f15d,9c458f7a-9c79-41f6-9332-313714b7623d,2024-04-20,Phone Call,No Response
272f8a6f-6bd2-4314-b29b-88ff1bd2cfd1,9c458f7a-9c79-41f6-9332-313714b7623d,2024-05-04,LinkedIn Message,No Response
8f646975-ea43-4ad3-a655-872e104d75e5,e6b493f8-1bd9-4e85-8d25-4dfba20f044e,2024-05-19,Email,Responded
75732346-064d-432e-9478-0e92a9c73de2,e6b493f8-1bd9-4e85-8d25-4dfba20f044e,2024-05-24,Demo Request,No Response
7cfaa544-1095-432c-a511-647608a72b72,e6b493f8-1bd9-4e85-8d25-4dfba20f044e,2024-06-10,LinkedIn Message,No Response
39cf22e3-86fb-4e69-8dfa-8b779b1c758b,e6b493f8-1bd9-4e85-8d25-4dfba20f044e,2024-06-06,Demo Request,Interested
09e4f809-6458-46ad-9282-ef8150e10abd,e6b493f8-1bd9-4e85-8d25-4dfba20f044e,2024-05-27,Demo Request,Responded
12561564-3f8d-45a4-b100-7d921a3a8ca0,07dd953d-c3e6-4f27-8b4a-26cd37607aee,2024-05-04,Email,No Response
ba468b72-6e69-435b-a80f-75393169f53c,07dd953d-c3e6-4f27-8b4a-26cd37607aee,2024-05-07,LinkedIn Message,No Response
df0673ca-4813-40ab-bcba-4264ebca6561,07dd953d-c3e6-4f27-8b4a-26cd37607aee,2024-05-22,LinkedIn Message,No Response
6be803a3-e300-4a00-980d-253d4c6d0aba,07dd953d-c3e6-4f27-8b4a-26cd37607aee,2024-05-14,Phone Call,No Response
1f3631a7-cfb3-4cc1-a2d1-0f7b3b60ef65,07dd953d-c3e6-4f27-8b4a-26cd37607aee,2024-05-10,Phone Call,No Response
275601c0-3914-4c53-8193-d14199fb553a,ff2f4553-bdea-43b5-b2dc-11264559e6ea,2024-04-13,Email,Interested
e376a8ef-6d6b-404d-99ad-7484a50e8cec,ff2f4553-bdea-43b5-b2dc-11264559e6ea,2024-04-17,Phone Call,No Response
ae2d0b5d-f760-4a98-96c7-4e263d5ecf1b,ff2f4553-bdea-43b5-b2dc-11264559e6ea,2024-04-23,Phone Call,Responded
57d529db-8f94-434c-ab26-3347ca44ac29,ff2f4553-bdea-43b5-b2dc-11264559e6ea,2024-04-29,Demo Request,Responded
1109b856-1993-4ee7-8834-912fc19a5dfc,ff2f4553-bdea-43b5-b2dc-11264559e6ea,2024-04-23,demo request,Callback Requested
eb3e0c32-a859-4f68-8c03-b34de3179125,ff2f4553-bdea-43b5-b2dc-11264559e6ea,2024-04-30,LinkedIn Message,No Response
d889badc-b5cb-4e09-856e-2bd5fd5b1cc7,ff2f4553-bdea-43b5-b2dc-11264559e6ea,2024-05-09,Phone Call,No Response
c9c40c76-4478-4fae-b04a-95d1f1a0e986,ff2f4553-bdea-43b5-b2dc-11264559e6ea,2024-04-28,Phone Call,No Response
39dc289d-bc7f-42df-841a-a05790a3a2b8,8644c15e-5749-440f-b9c6-e83677b70d68,2024-03-15,Phone Call,No Response
6956b5af-4eb2-41a1-9b91-4b8a46dc898f,8644c15e-5749-440f-b9c6-e83677b70d68,2024-03-19,LinkedIn Message,No Response
cf05a16c-ad53-474b-8a13-30fa5b69e77d,8644c15e-5749-440f-b9c6-e83677b70d68,2024-04-14,Email,Responded
e63fd573-1ef5-4e36-8110-c3ee4db12769,8644c15e-5749-440f-b9c6-e83677b70d68,2024-04-11,Demo Request,No Response
